Name,Tier,Type,Power,Category,Element,Masterwork Type,Masterwork Tier,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perkcheck,PvE?,PvP?,In Masterlist?
loaded question,Legendary,Fusion Rifle,958,Energy,Arc,Stability,10.0,High-Impact Frame,Red Dot 2 MOA,Ionized Battery,Auto-Loading Holster,Reservoir Burst,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,-----,2,1,1,N
sturm,Exotic,Hand Cannon,958,Kinetic,Kinetic,Handling,10.0,Accomplice,Extended Barrel,Extended Mag,Storm and Stress,Combat Grip,Sturm Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
merciless,Exotic,Fusion Rifle,950,Energy,Solar,-----,-----,Conserve Momentum,Chambered Compensator,Extended Mag,Impetus,Fitted Stock,Merciless Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
jötunn,Exotic,Fusion Rifle,960,Energy,Solar,-----,-----,Charge Shot,Volatile Launch,Liquid Coils,Shield Disorient,Polymer Grip,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
reginar-b,Rare,Rocket Launcher,960,Power,Void,-----,-----,Häkke Precision Frame,Quick Launch,Black Powder,Field Prep,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
galliard-42 xn7568,Legendary,Auto Rifle,958,Energy,Solar,Reload Speed,1.0,Adaptive Frame,SRO-52 Ocular,SLO-21 Post,SPO-26 Front,Alloy Magazine,Light Mag,Outlaw,Kill Clip,Refurbished Black Armory,Tier 1 Weapon,-----,-----,-----,4,1,0,Y
trust,Legendary,Hand Cannon,960,Energy,Solar,Range,10.0,Precision Frame,Smallbore,Light Mag,Genesis,Explosive Payload,Gambit Chrome,Masterwork,Blind Faith,Tracker Disabled,-----,-----,-----,-----,2,1,0,Y
cold front,Legendary,Submachine Gun,959,Kinetic,Kinetic,Stability,3.0,Aggressive Frame,Chambered Compensator,Polygonal Rifling,Accurized Rounds,Tactical Mag,Zen Moment,Vorpal Weapon,Tier 3 Weapon,-----,-----,-----,-----,-----,4,1,1,Y
the last dance,Legendary,Sidearm,948,Energy,Arc,Reload Speed,5.0,Omolon Adaptive Frame,QuickDot SAS,Shortspec SAS,Target SAS,Alloy Magazine,Appended Mag,Outlaw,Kill Clip,Vanguard Veteran,Tier 5 Weapon,-----,-----,-----,0,0,0,N
swift ride xe8375,Legendary,Pulse Rifle,959,Energy,Arc,Handling,2.0,Adaptive Frame,SRO-37 Ocular,SLO-10 Post,Extended Mag,Steady Rounds,Moving Target,Kill Clip,New Age Black Armory,Targeting Adjuster,Tier 2 Weapon,-----,-----,-----,4,0,1,Y
elatha fr4,Legendary,Fusion Rifle,960,Energy,Solar,Charge Time,3.0,High-Impact Frame,Transmission MS7,Torch HS3,Accelerated Coils,Enhanced Battery,Firmly Planted,Demolitionist,Tier 3 Weapon,-----,-----,-----,-----,-----,4,1,0,Y
subtle calamity,Legendary,Combat Bow,960,Energy,Void,Handling,4.0,Precision Frame,Elastic String,Flexible String,Fiberglass Arrow Shaft,Natural Fletching,Hip-Fire Grip,Archer's Tempo,Glacial Whisper,Tier 4 Weapon,-----,-----,-----,-----,4,0,1,Y
skyburner's oath,Exotic,Scout Rifle,950,Energy,Solar,-----,-----,Slug Rifle,Extended Barrel,Extended Mag,For the Empire,Short-Action Stock,Skyburner Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
psi cirrus ii,Rare,Pulse Rifle,960,Kinetic,Kinetic,-----,-----,Rapid-Fire Frame,Red Dot-ORS1,Extended Mag,Auto-Loading Holster,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
black scorpion-4sr,Legendary,Scout Rifle,958,Energy,Arc,Reload Speed,1.0,VEIST Rapid-Fire,Fluted Barrel,Full Bore,Accurized Rounds,Steady Rounds,Triple Tap,Genesis,Boss Spec,Tier 1 Weapon,-----,-----,-----,-----,4,1,0,Y
malfeasance,Exotic,Hand Cannon,959,Kinetic,Kinetic,-----,-----,Explosive Shadow,Corkscrew Rifling,Extended Mag,Taken Predator,Heavy Grip,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
avalanche,Legendary,Machine Gun,959,Power,Solar,Handling,3.0,Adaptive Frame,SLO-10 Post,SPO-26 Front,Appended Mag,High-Caliber Rounds,Moving Target,Quickdraw,Tier 3 Weapon,-----,-----,-----,-----,-----,0,0,0,N
bad juju,Exotic,Pulse Rifle,960,Kinetic,Kinetic,-----,-----,String of Curses,Hammer-Forged Rifling,Steady Rounds,Hip-Fire Grip,Short-Action Stock,Kill Tracker,Bad Juju Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
dissonance-34,Rare,Sidearm,960,Energy,Void,-----,-----,SUROS Rapid-Fire,Shortspec SAS,Ricochet Rounds,Moving Target,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
the spiteful fang,Legendary,Combat Bow,959,Kinetic,Kinetic,Reload Speed,1.0,Lightweight Frame,High Tension String,Polymer String,Carbon Arrow Shaft,Compact Arrow Shaft,Snapshot Sights,Quickdraw,New Age Black Armory,Tier 1 Weapon,Base Radiance,-----,-----,-----,3,1,0,Y
philippis-b,Rare,Submachine Gun,960,Kinetic,Kinetic,-----,-----,Precision Frame,GA Post,Accurized Rounds,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
last man standing,Legendary,Shotgun,959,Energy,Solar,Range,1.0,Aggressive Frame,Rifled Barrel,Smallbore,Appended Mag,Tactical Mag,Auto-Loading Holster,One-Two Punch,SUROS Modular,Major Spec,Tier 1 Weapon,-----,-----,-----,3,1,0,N
ikelos_sr_v1.0.1,Legendary,Sniper Rifle,940,Energy,Solar,-----,-----,Rapid-Fire Frame,Full Bore,Seraph Rounds,Box Breathing,Triple Tap,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,-----,1,1,0,N
orewing's maul,Legendary,Grenade Launcher,928,Energy,Void,Blast Radius,10.0,Lightweight Frame,Confined Launch,Hard Launch,Smart Drift Control,High-Velocity Rounds,Concussion Grenades,Field Prep,Moving Target,Iron Oxide,Targeting Adjuster,Masterwork,Crucible Tracker*,-----,3,1,0,Y
vinegaroon-2si,Rare,Sidearm,960,Energy,Solar,-----,-----,Lightweight Frame,Tactic SAS,Drop Mag,Opening Shot,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
madrugada sr2,Rare,Scout Rifle,960,Energy,Void,-----,-----,Lightweight Frame,Candle PS,Alloy Magazine,Explosive Payload,Nessus Pursuit (Worn),-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
refrain-23,Rare,Auto Rifle,960,Energy,Solar,-----,-----,Adaptive Frame,SLO-12 Post,Ricochet Rounds,Rampage,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
fighting lion,Exotic,Grenade Launcher,958,Energy,Void,Reload Speed,10.0,Delayed Gratification,Countermass,Implosion Rounds,Thin the Herd,Short-Action Stock,Fighting Lion Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
jack queen king 3,Legendary,Hand Cannon,960,Energy,Arc,Reload Speed,2.0,Lightweight Frame,HitMark HCS,Sureshot HCS,Alloy Magazine,High-Caliber Rounds,Subsistence,Swashbuckler,Tier 2 Weapon,-----,-----,-----,-----,-----,4,1,1,Y
avalanche,Legendary,Machine Gun,959,Power,Solar,Range,3.0,Adaptive Frame,SLO-12 Post,SLO-10 Post,Appended Mag,Ricochet Rounds,Feeding Frenzy,High-Impact Reserves,Targeting Adjuster,Tier 3 Weapon,-----,-----,-----,-----,0,0,0,N
no turning back,Legendary,Combat Bow,959,Kinetic,Kinetic,Draw Time,3.0,Precision Frame,High Tension String,Fiberglass Arrow Shaft,Explosive Head,Hip-Fire Grip,Distant Earth,Tier 3 Weapon,-----,-----,-----,-----,-----,-----,3,0,1,N
d.a.r.c.i.,Exotic,Sniper Rifle,960,Power,Arc,Stability,10.0,Personal Assistant,Extended Barrel,Extended Mag,Target Acquired,Short-Action Stock,D.A.R.C.I. Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
the colony,Exotic,Grenade Launcher,955,Power,Void,Magazine,10.0,Insectoid Robot Grenades,Linear Compensator,High-Velocity Rounds,Serve the Colony,Composite Stock,Sneak Attack,Colony Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
through fire and flood,Legendary,Grenade Launcher,959,Power,Arc,Handling,2.0,Adaptive Frame,Confined Launch,Linear Compensator,Proximity Grenades,Mini Frags,Auto-Loading Holster,Quickdraw,Glacial Whisper,Tier 2 Weapon,-----,-----,-----,-----,0,0,0,N
zenobia-d,Legendary,Rocket Launcher,958,Power,Arc,Handling,1.0,Häkke Precision Frame,Volatile Launch,Confined Launch,Alloy Casing,Implosion Rounds,Auto-Loading Holster,Cluster Bomb,Tier 1 Weapon,-----,-----,-----,-----,-----,0,0,0,N
refrain-23,Rare,Auto Rifle,960,Energy,Solar,-----,-----,Adaptive Frame,SLO-12 Post,Ricochet Rounds,Rampage,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
acantha-d xk8434,Legendary,Grenade Launcher,958,Power,Arc,Blast Radius,5.0,Aggressive Frame,Countermass,Linear Compensator,High-Explosive Ordnance,High-Velocity Rounds,Auto-Loading Holster,Ambitious Assassin,Refurbished Black Armory,Tier 5 Weapon,-----,-----,-----,-----,0,0,0,N
last hope,Legendary,Sidearm,960,Energy,Arc,Stability,1.0,Omolon Adaptive Frame,Tactic SAS,Target SAS,Alloy Magazine,High-Caliber Rounds,Quickdraw,Multikill Clip,Tier 1 Weapon,-----,-----,-----,-----,-----,0,0,0,N
