Name,PvX,Weap Type,Archetype,Perk 1,Perk 2,Perk 3,Perk 4
vouchsafe,pve,Scout Rifle,Lightweight Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling', 'Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling', 'Smallbore']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds', 'Flared Magwell']","['Full Auto Trigger System', 'Ambitious Assassin']","['Outlaw', 'Explosive Payload', 'Dragonfly', 'Triple Tap', 'Rapid Hit']"
vouchsafe,pvp,Scout Rifle,Lightweight Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds']",['Full Auto Trigger System'],"['Outlaw', 'Explosive Payload']"
badlander,pve,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke']","['Tactical Mag', 'Steady Rounds']","['Slideshot', 'Threat Detector']","['Rampage', 'Genesis', 'Auto-Loading Holster']"
badlander,pvp,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Slideshot', 'Threat Detector', 'Moving Target']","['Rampage', 'Snapshot Sights', 'Quickdraw']"
emperor's courtesy,pve,Shotgun,Lightweight Frame,"['Rifled Barrel', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag']","['Grave Robber', 'Quickdraw']","['Swashbuckler', 'Surrounded', 'Rampage']"
emperor's courtesy,pvp,Shotgun,Lightweight Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Grave Robber', 'Quickdraw', 'Snapshot Sights']","['Swashbuckler', 'Surrounded', 'Rampage', 'Slideshot', 'Opening Shot']"
gunnora's axe,pve,Shotgun,Precision Frame,"['Fluted Barrel', 'Smallbore', 'Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Polygonal Rifling']","['Assault Mag', 'Appended Mag', 'Tactical Mag']","['Outlaw', 'Full Auto Trigger System', 'Quickdraw']","['Rampage', 'Demolitionist', 'Swashbuckler', 'Triple Tap']"
gunnora's axe,pvp,Shotgun,Precision Frame,"['Fluted Barrel', 'Smallbore', 'Extended Barrel', 'Full Bore', 'Hammer-Forged Rifling']","['Assault Mag', 'Accurized Rounds', 'Light Mag']","['Outlaw', 'Full Auto Trigger System', 'Quickdraw']","['Rampage', 'Demolitionist', 'Swashbuckler', 'Snapshot Sights', 'Moving Target', 'Slideshot', 'Opening Shot']"
last man standing,pve,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Smallbore', 'Corkscrew Rifling']","['Assault Mag', 'Appended Mag', 'Tactical Mag']","['Grave Robber', 'Field Prep']","['Rampage', 'Demolitionist', 'One-Two Punch']"
last man standing,pvp,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']","['Accurized Rounds', 'Light Mag']",['Opening Shot'],"['Rampage', 'Demolitionist', 'Swashbuckler']"
mindbender's ambition,pve,Shotgun,Aggressive Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Assault Mag', 'Appended Mag', 'Tactical Mag']","['Slideshot', 'Threat Detector', 'Pulse Monitor']","['Rampage', 'Quickdraw', 'Auto-Loading Holster']"
mindbender's ambition,pvp,Shotgun,Aggressive Frame,"['Smallbore', 'Rifled Barrel', 'Full Choke']","['Assault Mag', 'Accurized Rounds']","['Slideshot', 'Snapshot Sights']","['Rampage', 'Quickdraw', 'Moving Target']"
prophet of doom,pve,Shotgun,Precision Frame,"['Barrel Shroud', 'Smallbore', 'Corkscrew Rifling']","['Assault Mag', 'Appended Mag', 'Tactical Mag']","['Full Auto Trigger System', 'Feeding Frenzy']","['One-Two Punch', 'Rampage']"
prophet of doom,pvp,Shotgun,Precision Frame,"['Barrel Shroud', 'Rifled Barrel', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Accurized Rounds']","['Full Auto Trigger System', 'Feeding Frenzy', 'Slideways', 'Genesis']","['One-Two Punch', 'Rampage', 'Opening Shot', 'Shield Disorient']"
retold tale,pve,Shotgun,Precision Frame,['Full Choke'],['Accurized Rounds'],['Quickdraw'],['Full Auto Trigger System']
wishbringer,pve,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Barrel Shroud', 'Corkscrew Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Slideshot', 'Threat Detector']","['Rampage', 'Auto-Loading Holster']"
wishbringer,pvp,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],['Slideshot'],"['Rampage', 'Snapshot Sights', 'Opening Shot']"
anonymous autumn,pve,Sidearm,Lightweight Frame,"['Shortspec SAS', 'Target SAS', 'Control SAS']","['Extended Mag', 'Appended Mag']","['Full Auto Trigger System', 'Outlaw']","['Kill Clip', 'Rampage']"
anonymous autumn,pvp,Sidearm,Lightweight Frame,"['Shortspec SAS', 'Target SAS', 'QuickDot SAS']","['High-Caliber Rounds', 'Ricochet Rounds']","['Full Auto Trigger System', 'Moving Target', 'Quickdraw']","['Rangefinder', 'Grave Robber', 'Opening Shot']"
dead man walking xx7463,pve,Sidearm,SUROS Rapid-Fire,"['Control SAS', 'Shortspec SAS']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Quickdraw', 'Outlaw']","['Kill Clip', 'Rampage', 'Grave Robber']"
dead man walking xx7463,pvp,Sidearm,SUROS Rapid-Fire,"['Control SAS', 'Shortspec SAS', 'Tactic SAS', 'Target SAS', 'FarPoint SAS']","['Appended Mag', 'Accurized Rounds', 'Steady Rounds']","['Quickdraw', 'Outlaw', 'Moving Target']","['Kill Clip', 'Rangefinder', 'Zen Moment', 'Opening Shot']"
drang (baroque),pve,Sidearm,Together Forever,"['Extended Barrel', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Alloy Magazine', 'Appended Mag']","['Quickdraw', 'Disruption Break', 'Full Auto Trigger System']","['Rampage', 'Swashbuckler', 'Underdog']"
drang (baroque),pvp,Sidearm,Together Forever,"['Extended Barrel', 'Hammer-Forged Rifling', 'Full Bore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Quickdraw', 'Eye of the Storm', 'Moving Target']","['Rampage', 'Swashbuckler', 'Zen Moment']"
last hope,pve,Sidearm,Omolon Adaptive Frame,"['QuickDot SAS', 'Control SAS', 'Shortspec SAS']","['High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Appended Mag', 'Armor-Piercing Rounds']","['Feeding Frenzy', 'Quickdraw', 'Grave Robber']","['Multikill Clip', 'Dragonfly', 'Rampage']"
last hope,pvp,Sidearm,Omolon Adaptive Frame,"['Tactic SAS', 'Target SAS', 'FarPoint SAS']","['High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell']","['Feeding Frenzy', 'Quickdraw', 'Rangefinder']","['Multikill Clip', 'Zen Moment', 'Tap the Trigger']"
the last dance,pve,Sidearm,Omolon Adaptive Frame,"['Control SAS', 'Shortspec SAS', 'Target SAS']","['Extended Mag', 'Appended Mag']","['Full Auto Trigger System', 'Outlaw']","['Kill Clip', 'Dragonfly']"
the last dance,pvp,Sidearm,Omolon Adaptive Frame,"['Control SAS', 'Shortspec SAS', 'Target SAS']","['High-Caliber Rounds', 'Ricochet Rounds']","['Full Auto Trigger System', 'Moving Target']","['Rangefinder', 'Tap the Trigger', 'Opening Shot']"
traveler's judgment 5,pve,Sidearm,Adaptive Frame,"['QuickDot SAS', 'Control SAS', 'Tactic SAS', 'Shortspec SAS']","['High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Appended Mag', 'Armor-Piercing Rounds']","['Rapid Hit', 'Feeding Frenzy', 'Auto-Loading Holster']","['Surrounded', 'Disruption Break', 'Dragonfly']"
traveler's judgment 5,pvp,Sidearm,Adaptive Frame,"['QuickDot SAS', 'Control SAS', 'Tactic SAS', 'Target SAS', 'FarPoint SAS']","['High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell']","['Rapid Hit', 'Feeding Frenzy', 'Firmly Planted', 'Hip-Fire Grip']","['Tap the Trigger', 'Headseeker']"
apostate,pve,Sniper Rifle,Rapid-Fire Frame,"['Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore']","['Appended Mag', 'Tactical Mag', 'Extended Mag']",['Outlaw'],"['Box Breathing', 'Rapid Hit', 'Multikill Clip']"
apostate,pvp,Sniper Rifle,Rapid-Fire Frame,"['Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore']",['Accurized Rounds'],"['Outlaw', 'Moving Target', 'Firmly Planted']","['Box Breathing', 'Snapshot Sights', 'Quickdraw']"
beloved,pve,Sniper Rifle,Adaptive Frame,"['Fluted Barrel', 'Corkscrew Rifling', 'Polygonal Rifling']","['Accurized Rounds', 'Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Extended Mag']","['No Distractions', 'Demolitionist', 'Snapshot Sights', 'Mulligan']","['Quickdraw', 'Moving Target', 'Box Breathing', ""Fourth Time's the Charm"", 'Rampage']"
beloved,pvp,Sniper Rifle,Adaptive Frame,"['Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore']","['Accurized Rounds', 'Tactical Mag', 'Flared Magwell']","['No Distractions', 'Demolitionist', 'Snapshot Sights']","['Quickdraw', 'Moving Target']"
omniscient eye,pve,Sniper Rifle,Rapid-Fire Frame,"['Fluted Barrel', 'Smallbore', 'Arrowhead Brake']","['Appended Mag', 'Tactical Mag', 'Flared Magwell']","['Mulligan', 'Outlaw', 'No Distractions', 'Genesis']","['Dragonfly', 'Multikill Clip', 'Rampage']"
omniscient eye,pvp,Sniper Rifle,Rapid-Fire Frame,"['Fluted Barrel', 'Smallbore', 'Hammer-Forged Rifling']","['Accurized Rounds', 'Steady Rounds']","['Mulligan', 'Outlaw', 'No Distractions']",['Snapshot Sights']
persuader,pve,Sniper Rifle,Rapid-Fire Frame,['50VAL Telescopic'],"['Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Extended Mag']","['Rapid Hit', 'Field Prep']","['Outlaw', 'Triple Tap']"
persuader,pvp,Sniper Rifle,Rapid-Fire Frame,['50VAL Telescopic'],"['Tactical Mag', 'Flared Magwell', 'Accurized Rounds', 'Steady Rounds']","['Firmly Planted', 'Snapshot Sights']","['Outlaw', 'Moving Target']"
sole survivor,pve,Sniper Rifle,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Polygonal Rifling']","['Appended Mag', 'Flared Magwell', 'Extended Mag']","['Triple Tap', ""Fourth Time's the Charm"", 'Rapid Hit']","['Opening Shot', 'Demolitionist', 'Firing Line']"
sole survivor,pvp,Sniper Rifle,Adaptive Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel']","['Appended Mag', 'Flared Magwell', 'Ricochet Rounds']",['Snapshot Sights'],"['Opening Shot', 'Demolitionist', 'Slideshot']"
tatara gaze,pve,Sniper Rifle,Aggressive Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Extended Mag']","['Quickdraw', 'Snapshot Sights', 'Outlaw', 'Rapid Hit']","['Kill Clip', 'Box Breathing', 'Rampage', 'Dragonfly']"
tatara gaze,pvp,Sniper Rifle,Aggressive Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Flared Magwell', 'Steady Rounds']","['Quickdraw', 'Snapshot Sights']","['Kill Clip', 'Box Breathing', 'Opening Shot']"
trophy hunter,pve,Sniper Rifle,Aggressive Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Lead from Gold', 'Triple Tap']","['Vorpal Weapon', 'Dragonfly', 'Disruption Break']"
trophy hunter,pvp,Sniper Rifle,Aggressive Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling', 'Smallbore']","['Appended Mag', 'Tactical Mag', 'Accurized Rounds']","['Lead from Gold', 'Triple Tap', 'Pulse Monitor']","['Vorpal Weapon', 'Snapshot Sights']"
twilight oath,pve,Sniper Rifle,Rapid-Fire Frame,['Fluted Barrel'],['Accurized Rounds'],['Rapid Hit'],['Triple Tap']
twilight oath,pvp,Sniper Rifle,Rapid-Fire Frame,['Fluted Barrel'],['Accurized Rounds'],['Opening Shot'],['Triple Tap']
bad reputation,pve,Submachine Gun,Precision Frame,"['King Sight K1', 'Dusk Sight D1']","['Appended Mag', 'High-Caliber Rounds', 'Alloy Magazine']","['Genesis', 'Grave Robber', 'Zen Moment']","['Kill Clip', 'Outlaw', 'High-Impact Reserves']"
bad reputation,pvp,Submachine Gun,Precision Frame,"['King Sight K1', 'Dusk Sight D1']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Genesis', 'Tap the Trigger']","['Kill Clip', 'Outlaw', 'Dynamic Sway Reduction']"
breath of the dragon,pve,Submachine Gun,Lightweight Frame,['Hammer-Forged Rifling'],"['Ricochet Rounds', 'Light Mag']","['Zen Moment', 'Slideways']",['Kill Clip']
bug-out bag,pve,Submachine Gun,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling']","['Tactical Mag', 'Appended Mag', 'Extended Mag']","['Zen Moment', 'Subsistence']","['Demolitionist', 'Multikill Clip']"
bug-out bag,pvp,Submachine Gun,Adaptive Frame,"['Extended Barrel', 'Hammer-Forged Rifling', 'Smallbore']","['Tactical Mag', 'Accurized Rounds']",['Zen Moment'],['Demolitionist']
calus mini-tool,pve,Submachine Gun,MIDA Synergy,"['Extended Barrel', 'Arrowhead Brake', 'Chambered Compensator', 'Fluted Barrel']","['Ricochet Rounds', 'Appended Mag', 'High-Caliber Rounds', 'Flared Magwell']","['Moving Target', 'Slideways', 'Eye of the Storm', 'Dynamic Sway Reduction', 'Grave Robber']","['Disruption Break', 'Feeding Frenzy', 'Surrounded']"
calus mini-tool,pvp,Submachine Gun,MIDA Synergy,"['Extended Barrel', 'Hammer-Forged Rifling', 'Smallbore']",['Ricochet Rounds'],"['Moving Target', 'Slideways']","['Disruption Break', 'Feeding Frenzy', 'Tap the Trigger']"
every waking moment,pve,Submachine Gun,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Fluted Barrel']","['High-Caliber Rounds', 'Extended Mag']","['Zen Moment', 'Outlaw', 'Slideways']","['Swashbuckler', 'Kill Clip', 'Demolitionist']"
every waking moment,pvp,Submachine Gun,Precision Frame,"['Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Zen Moment', 'Outlaw', 'Slideways']","['Swashbuckler', 'Kill Clip', 'Demolitionist', 'Eye of the Storm']"
subjunctive,pve,Submachine Gun,Lightweight Frame,"['Polygonal Rifling', 'Smallbore', 'Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel']","['Ricochet Rounds', 'Appended Mag']","['Outlaw', 'Quickdraw', 'Hip-Fire Grip', 'Threat Detector', 'Genesis']","['Swashbuckler', 'Rampage', 'Surrounded', 'Multikill Clip']"
subjunctive,pvp,Submachine Gun,Lightweight Frame,"['Polygonal Rifling', 'Smallbore', 'Full Bore']","['Ricochet Rounds', 'High-Caliber Rounds']","['Outlaw', 'Quickdraw', 'Pulse Monitor']","['Swashbuckler', 'Rampage']"
the hero's burden,pve,Submachine Gun,Adaptive Frame,"['SPO-57 Front', 'SPO-28 Front', 'SPO-26 Front']","['Appended Mag', 'Ricochet Rounds', 'Flared Magwell']","['Zen Moment', 'Moving Target']",['Kill Clip']
the hero's burden,pvp,Submachine Gun,Adaptive Frame,"['SPO-57 Front', 'SPO-28 Front']","['Appended Mag', 'Ricochet Rounds', 'High-Caliber Rounds']","['Zen Moment', 'Moving Target', 'Slideways']","['Kill Clip', 'Tap the Trigger', 'Threat Detector']"
acantha-d xk8434,pve,Grenade Launcher,Aggressive Frame,"['Volatile Launch', 'Linear Compensator', 'Confined Launch']","['Proximity Grenades', 'Spike Grenades', 'High-Explosive Ordnance']","['Auto-Loading Holster', 'Field Prep', 'Threat Detector']",['Rampage']
acantha-d xk8434,pvp,Grenade Launcher,Aggressive Frame,"['Volatile Launch', 'Linear Compensator']","['Proximity Grenades', 'Spike Grenades']","['Auto-Loading Holster', 'Rangefinder']","['Rampage', 'Quickdraw']"
doomsday,pve,Grenade Launcher,Adaptive Frame,"['Countermass', 'Linear Compensator', 'Quick Launch']","['Spike Grenades', 'Augmented Drum', 'High-Explosive Ordnance']","['Auto-Loading Holster', 'Field Prep']","['Demolitionist', 'Ambitious Assassin']"
doomsday,pvp,Grenade Launcher,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Smart Drift Control']","['Spike Grenades', 'Proximity Grenades']","['Auto-Loading Holster', 'Rangefinder', 'Threat Detector']","['Demolitionist', 'Full Court', 'Quickdraw']"
edge transit,pve,Grenade Launcher,Adaptive Frame,"['Volatile Launch', 'Linear Compensator', 'Quick Launch']","['Proximity Grenades', 'High-Explosive Ordnance']","['Rangefinder', 'Threat Detector']","['Rampage', 'Quickdraw', 'Genesis']"
edge transit,pvp,Grenade Launcher,Adaptive Frame,"['Volatile Launch', 'Linear Compensator', 'Quick Launch']",['Proximity Grenades'],"['Rangefinder', 'Snapshot Sights']","['Rampage', 'Quickdraw']"
love and death,pve,Grenade Launcher,Aggressive Frame,"['Volatile Launch', 'Hard Launch']","['Spike Grenades', 'Augmented Drum', 'Mini Frags']","['Threat Detector', 'Field Prep']","['Quickdraw', 'Full Court']"
love and death,pvp,Grenade Launcher,Aggressive Frame,"['Confined Launch', 'Linear Compensator']","['Proximity Grenades', 'High-Explosive Ordnance']",['Rangefinder'],['Quickdraw']
outrageous fortune,pve,Grenade Launcher,Aggressive Frame,"['Volatile Launch', 'Linear Compensator', 'Quick Launch']","['Proximity Grenades', 'Black Powder', 'High-Explosive Ordnance']","['Rangefinder', 'Threat Detector']","['Rampage', 'Quickdraw', 'Genesis']"
outrageous fortune,pvp,Grenade Launcher,Aggressive Frame,"['Volatile Launch', 'Linear Compensator', 'Quick Launch']",['Proximity Grenades'],"['Rangefinder', 'Snapshot Sights']","['Rampage', 'Quickdraw']"
swarm of the raven,pve,Grenade Launcher,Aggressive Frame,['Volatile Launch'],['Proximity Grenades'],"['Field Prep', 'Auto-Loading Holster']",['Genesis']
swarm of the raven,pvp,Grenade Launcher,Aggressive Frame,['Volatile Launch'],['Proximity Grenades'],"['Field Prep', 'Auto-Loading Holster']",['Rampage']
crooked fang-4fr,pve,Linear Fusion Rifle,Precision Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel']",['Enhanced Battery'],"['High-Impact Reserves', 'Auto-Loading Holster']","['Rampage', 'Dragonfly', 'Genesis', 'Box Breathing']"
crooked fang-4fr,pvp,Linear Fusion Rifle,Precision Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel']","['Enhanced Battery', 'Projection Fuse']","['Opening Shot', 'Snapshot Sights', 'Moving Target']","['Rampage', 'Backup Plan', 'Kill Clip', 'Rangefinder']"
line in the sand,pve,Linear Fusion Rifle,Precision Frame,"['Fluted Barrel', 'Arrowhead Brake', 'Corkscrew Rifling']","['Enhanced Battery', 'Liquid Coils']","['Rapid Hit', 'Genesis']","['Backup Plan', 'Firing Line', 'Clown Cartridge', 'Dragonfly']"
line in the sand,pvp,Linear Fusion Rifle,Precision Frame,"['Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore']","['Accelerated Coils', 'Projection Fuse']","['Rapid Hit', 'Rangefinder', 'Moving Target']","['Backup Plan', 'Rampage', 'Auto-Loading Holster']"
a fine memorial,pve,Machine Gun,Adaptive Frame,"['Fluted Barrel', 'Arrowhead Brake', 'Corkscrew Rifling']","['High-Caliber Rounds', 'Appended Mag', 'Flared Magwell']","['Quickdraw', 'Pulse Monitor']","['Demolitionist', 'Surrounded']"
a fine memorial,pvp,Machine Gun,Adaptive Frame,"['Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Quickdraw', 'Moving Target']","['Demolitionist', 'Tap the Trigger']"
avalanche,pve,Machine Gun,Adaptive Frame,"['SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front']","['High-Caliber Rounds', 'Extended Mag', 'Alloy Magazine', 'Appended Mag']","['Slideways', 'Threat Detector', 'Feeding Frenzy']","['Rampage', 'High-Impact Reserves', 'Hip-Fire Grip']"
avalanche,pvp,Machine Gun,Adaptive Frame,"['SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front']","['High-Caliber Rounds', 'Armor-Piercing Rounds', 'Ricochet Rounds']","['Slideways', 'Moving Target']","['Rampage', 'High-Impact Reserves', 'Quickdraw']"
bane of sorrow,pve,Machine Gun,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Polygonal Rifling', 'Corkscrew Rifling', 'Fluted Barrel']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag']","['Feeding Frenzy', 'Eye of the Storm', 'Under Pressure']","['Demolitionist', 'Kill Clip', 'Rampage']"
bane of sorrow,pvp,Machine Gun,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Polygonal Rifling', 'Extended Barrel', 'Hammer-Forged Rifling']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Feeding Frenzy', 'Eye of the Storm', 'Tap the Trigger']","['Demolitionist', 'Kill Clip', 'Rampage', 'Mulligan']"
fixed odds,pve,Machine Gun,High-Impact Frame,"['Chambered Compensator', 'Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag']","['Quickdraw', 'Feeding Frenzy']","['Rampage', 'Surrounded']"
fixed odds,pvp,Machine Gun,High-Impact Frame,"['Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling']","['Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Quickdraw', 'No Distractions']","['Rampage', 'Rangefinder', 'Tap the Trigger']"
hammerhead,pve,Machine Gun,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Alloy Magazine', 'Appended Mag']","['Feeding Frenzy', 'Quickdraw', 'Shield Disorient']","['Surrounded', 'Rampage', 'High-Impact Reserves', 'Ambitious Assassin', 'Genesis']"
hammerhead,pvp,Machine Gun,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds']","['Feeding Frenzy', 'Quickdraw', 'Tap the Trigger']","['Surrounded', 'Rampage', 'High-Impact Reserves']"
temporal clause,pve,Machine Gun,Rapid-Fire Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Chambered Compensator', 'Corkscrew Rifling', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Appended Mag', 'Flared Magwell']","['Quickdraw', 'Firmly Planted', 'Auto-Loading Holster', 'Ambitious Assassin']","['Rangefinder', 'Rampage', 'Surrounded']"
temporal clause,pvp,Machine Gun,Rapid-Fire Frame,"['Arrowhead Brake', 'Fluted Barrel']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Quickdraw', 'Firmly Planted']","['Rangefinder', 'Rampage', 'Eye of the Storm']"
apex predator,pve,Rocket Launcher,Adaptive Frame,"['Linear Compensator', 'Quick Launch']",['High-Velocity Rounds'],['Tracking Module'],"['Auto-Loading Holster', 'Snapshot Sights']"
bad omens,pve,Rocket Launcher,Aggressive Frame,"['Volatile Launch', 'Linear Compensator']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds']","['Tracking Module', 'Auto-Loading Holster']","['Cluster Bomb', 'Genesis', 'Kill Clip']"
bad omens,pvp,Rocket Launcher,Aggressive Frame,"['Volatile Launch', 'Linear Compensator']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds']","['Tracking Module', 'Snapshot Sights']","['Cluster Bomb', 'Quickdraw']"
bellowing giant,pve,Rocket Launcher,Adaptive Frame,"['Volatile Launch', 'Linear Compensator', 'Hard Launch', 'Quick Launch']","['Alloy Casing', 'Impact Casing', 'Implosion Rounds']","['Tracking Module', 'Quickdraw', 'Field Prep']","['Cluster Bomb', 'Auto-Loading Holster', 'Ambitious Assassin']"
bellowing giant,pvp,Rocket Launcher,Adaptive Frame,"['Volatile Launch', 'Linear Compensator', 'Confined Launch']","['Alloy Casing', 'Impact Casing', 'Black Powder']","['Tracking Module', 'Quickdraw']","['Cluster Bomb', 'Auto-Loading Holster']"
heretic,pve,Rocket Launcher,Aggressive Frame,"['Linear Compensator', 'Hard Launch', 'Quick Launch']",['Impact Casing'],['Demolitionist'],"['Cluster Bomb', 'Quickdraw', 'Kill Clip']"
heretic,pvp,Rocket Launcher,Aggressive Frame,"['Linear Compensator', 'Volatile Launch', 'Confined Launch']","['Black Powder', 'High-Velocity Rounds']","['Demolitionist', 'Rangefinder']","['Cluster Bomb', 'Quickdraw']"
hoosegow xe5837,pve,Rocket Launcher,Adaptive Frame,"['Linear Compensator', 'Hard Launch', 'Quick Launch']","['Alloy Casing', 'Impact Casing', 'Implosion Rounds']","['Auto-Loading Holster', 'Field Prep']","['Cluster Bomb', 'Quickdraw', 'Ambitious Assassin']"
hoosegow xe5837,pvp,Rocket Launcher,Adaptive Frame,"['Linear Compensator', 'Volatile Launch', 'Confined Launch']","['Alloy Casing', 'Impact Casing', 'Black Powder']",['Auto-Loading Holster'],"['Cluster Bomb', 'Quickdraw']"
mos epoch iii,pve,Rocket Launcher,Aggressive Frame,"['Quick Launch', 'Hard Launch', 'Smart Drift Control']","['Alloy Casing', 'Implosion Rounds', 'Impact Casing']","['Auto-Loading Holster', 'Tracking Module']","['Quickdraw', 'Cluster Bomb', 'Disruption Break']"
mos epoch iii,pvp,Rocket Launcher,Aggressive Frame,"['Quick Launch', 'Volatile Launch', 'Confined Launch']","['Alloy Casing', 'Black Powder']","['Auto-Loading Holster', 'Tracking Module']","['Quickdraw', 'Cluster Bomb']"
pyroclastic flow,pve,Rocket Launcher,Precision Frame,"['Hard Launch', 'Linear Compensator', 'Quick Launch']","['Impact Casing', 'Alloy Casing']","['Ambitious Assassin', 'Quickdraw']","['Cluster Bomb', 'Auto-Loading Holster']"
pyroclastic flow,pvp,Rocket Launcher,Precision Frame,"['Hard Launch', 'Linear Compensator', 'Volatile Launch', 'Countermass']","['Impact Casing', 'Black Powder', 'High-Velocity Rounds']","['Ambitious Assassin', 'Quickdraw', 'Underdog', 'Genesis']","['Cluster Bomb', 'Auto-Loading Holster']"
roar of the bear,pve,Rocket Launcher,High-Impact Frame,"['Volatile Launch', 'Linear Compensator', 'Hard Launch', 'Quick Launch']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds']",['Tracking Module'],"['Auto-Loading Holster', 'Kill Clip']"
